mapping_type,stage,node,8177_task,source_8175_task,inherited_sols,justification
PARALLEL_TRANSITIVE,Stage1,Industry / Producer overview,8177-47,8175-44,"English: 10.RV, 10.RI, 10.LU, 10.C, 11.DSR, 11.RV, 11.RI, 11.LU, 11.C, 12.RV, 12.RI, 12.LU, 12.C","Parallel unit — same concept, same lesson, both courses"
PARALLEL_TRANSITIVE,Stage1,Industry / Producer overview,8177-47,8175-45,"English: 10.RV, 10.RI, 10.LU, 10.C, 11.DSR, 11.RV, 11.RI, 11.LU, 11.C, 12.RV, 12.RI, 12.LU, 12.C","Parallel unit — same concept, same lesson, both courses"
PARALLEL_TRANSITIVE,Stage1,Industry / Producer overview,8177-47,8175-46,"English: 10.RV, 10.RI, 10.LU, 10.C, 11.DSR, 11.RV, 11.RI, 11.LU, 11.C, 12.RV, 12.RI, 12.LU, 12.C","Parallel unit — same concept, same lesson, both courses"
PARALLEL_TRANSITIVE,Stage1,Industry / Producer overview,8177-47,8175-47,"English: 10.RV, 10.RI, 10.LU, 10.C, 11.DSR, 11.RV, 11.RI, 11.LU, 11.C, 12.RV, 12.RI, 12.LU, 12.C","Parallel unit — same concept, same lesson, both courses"
PARALLEL_TRANSITIVE,Stage1,Industry / Producer overview,8177-48,8175-44,"English: 10.RV, 10.RI, 10.LU, 10.C, 11.DSR, 11.RV, 11.RI, 11.LU, 11.C, 12.RV, 12.RI, 12.LU, 12.C","Parallel unit — same concept, same lesson, both courses"
PARALLEL_TRANSITIVE,Stage1,Industry / Producer overview,8177-48,8175-45,"English: 10.RV, 10.RI, 10.LU, 10.C, 11.DSR, 11.RV, 11.RI, 11.LU, 11.C, 12.RV, 12.RI, 12.LU, 12.C","Parallel unit — same concept, same lesson, both courses"
PARALLEL_TRANSITIVE,Stage1,Industry / Producer overview,8177-48,8175-46,"English: 10.RV, 10.RI, 10.LU, 10.C, 11.DSR, 11.RV, 11.RI, 11.LU, 11.C, 12.RV, 12.RI, 12.LU, 12.C","Parallel unit — same concept, same lesson, both courses"
PARALLEL_TRANSITIVE,Stage1,Industry / Producer overview,8177-48,8175-47,"English: 10.RV, 10.RI, 10.LU, 10.C, 11.DSR, 11.RV, 11.RI, 11.LU, 11.C, 12.RV, 12.RI, 12.LU, 12.C","Parallel unit — same concept, same lesson, both courses"
PARALLEL_TRANSITIVE,Stage1,Business structure,8177-52,8175-68,"English: 10.RV, 10.RI, 10.C, 11.RV, 11.RI, 11.LU, 11.C, 12.RV, 12.RI, 12.LU, 12.C","Parallel unit — same concept, same lesson, both courses"
PARALLEL_TRANSITIVE,Stage1,Business structure,8177-52,8175-69,"English: 10.RV, 10.RI, 11.DSR, 11.RV, 11.RI, 11.LU, 12.RV, 12.RI, 12.LU","Parallel unit — same concept, same lesson, both courses"
PARALLEL_TRANSITIVE,Stage1,Business structure,8177-53,8175-68,"English: 10.RV, 10.RI, 10.C, 11.RV, 11.RI, 11.LU, 11.C, 12.RV, 12.RI, 12.LU, 12.C","Parallel unit — same concept, same lesson, both courses"
PARALLEL_TRANSITIVE,Stage1,Business structure,8177-53,8175-69,"English: 10.RV, 10.RI, 11.DSR, 11.RV, 11.RI, 11.LU, 12.RV, 12.RI, 12.LU","Parallel unit — same concept, same lesson, both courses"
PARALLEL_TRANSITIVE,Stage2,Product / Branding,8177-63,8175-56,"English: 10.RV, 10.RI, 10.C, 11.RV, 11.RI, 11.LU, 11.C, 12.RV, 12.RI, 12.LU, 12.C","Parallel unit — same concept, same lesson, both courses"
PARALLEL_TRANSITIVE,Stage2,Product / Branding,8177-63,8175-57,"English: 10.RV, 10.RI, 10.C, 11.RV, 11.RI, 11.LU, 11.C, 12.RV, 12.RI, 12.LU, 12.C","Parallel unit — same concept, same lesson, both courses"
PARALLEL_TRANSITIVE,Stage2,Product / Branding,8177-63,8175-58,"English: 10.RV, 10.RI, 10.C, 11.RV, 11.RI, 11.LU, 11.C, 12.RV, 12.RI, 12.LU, 12.C","Parallel unit — same concept, same lesson, both courses"
PARALLEL_TRANSITIVE,Stage2,Product / Branding,8177-63,8175-59,"English: 10.RV, 10.RI, 10.C, 11.RV, 11.RI, 11.LU, 11.C, 12.RV, 12.RI, 12.LU, 12.C","Parallel unit — same concept, same lesson, both courses"
PARALLEL_TRANSITIVE,Stage2,Product / Branding,8177-64,8175-56,"English: 10.RV, 10.RI, 10.C, 11.RV, 11.RI, 11.LU, 11.C, 12.RV, 12.RI, 12.LU, 12.C","Parallel unit — same concept, same lesson, both courses"
PARALLEL_TRANSITIVE,Stage2,Product / Branding,8177-64,8175-57,"English: 10.RV, 10.RI, 10.C, 11.RV, 11.RI, 11.LU, 11.C, 12.RV, 12.RI, 12.LU, 12.C","Parallel unit — same concept, same lesson, both courses"
PARALLEL_TRANSITIVE,Stage2,Product / Branding,8177-64,8175-58,"English: 10.RV, 10.RI, 10.C, 11.RV, 11.RI, 11.LU, 11.C, 12.RV, 12.RI, 12.LU, 12.C","Parallel unit — same concept, same lesson, both courses"
PARALLEL_TRANSITIVE,Stage2,Product / Branding,8177-64,8175-59,"English: 10.RV, 10.RI, 10.C, 11.RV, 11.RI, 11.LU, 11.C, 12.RV, 12.RI, 12.LU, 12.C","Parallel unit — same concept, same lesson, both courses"
PARALLEL_TRANSITIVE,Stage2,Product / Branding,8177-69,8175-56,"English: 10.RV, 10.RI, 10.C, 11.RV, 11.RI, 11.LU, 11.C, 12.RV, 12.RI, 12.LU, 12.C","Parallel unit — same concept, same lesson, both courses"
PARALLEL_TRANSITIVE,Stage2,Product / Branding,8177-69,8175-57,"English: 10.RV, 10.RI, 10.C, 11.RV, 11.RI, 11.LU, 11.C, 12.RV, 12.RI, 12.LU, 12.C","Parallel unit — same concept, same lesson, both courses"
PARALLEL_TRANSITIVE,Stage2,Product / Branding,8177-69,8175-58,"English: 10.RV, 10.RI, 10.C, 11.RV, 11.RI, 11.LU, 11.C, 12.RV, 12.RI, 12.LU, 12.C","Parallel unit — same concept, same lesson, both courses"
PARALLEL_TRANSITIVE,Stage2,Product / Branding,8177-69,8175-59,"English: 10.RV, 10.RI, 10.C, 11.RV, 11.RI, 11.LU, 11.C, 12.RV, 12.RI, 12.LU, 12.C","Parallel unit — same concept, same lesson, both courses"
PARALLEL_TRANSITIVE,Stage2,Product / Branding,8177-70,8175-56,"English: 10.RV, 10.RI, 10.C, 11.RV, 11.RI, 11.LU, 11.C, 12.RV, 12.RI, 12.LU, 12.C","Parallel unit — same concept, same lesson, both courses"
